disease class,image name,gemini-pro-vision,llava-v1.6-34b,gpt-4-vision-preview,claude-3-opus-20240229
Brown Spot,brown_spot (338),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Circular”}","{ ""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Yellow"", ""ShapeOfSymptomAbnormality"": ""Circular"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"",""ColorAbnormality"": ""Brown"",""ShapeOfSymptomAbnormality"": ""Oval""}"
Brown Spot,brown_spot (24),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Circular”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""YellowishBrown"", ""ShapeOfSymptomAbnormality"": ""Circular"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Brown Spot,brown_spot (77),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Circular""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Brown Spot,brown_spot (168),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{""SymptomAbnormality"": ""Spot"",""ColorAbnormality"": ""ReddishBrown"",""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Circular""}"
Brown Spot,brown_spot (185),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""GreenishBlack"", ""ShapeOfSymptomAbnormality"": ""Linear"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Brown Spot,brown_spot (246),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Yellow"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Brown Spot,brown_spot (249),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{“SymptomAbnormality”: 'Spot', “ColorAbnormality”: 'BrownishYellow', “ShapeOfSymptomAbnormality”: 'Linear'}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval"" }"
Brown Spot,brown_spot (320),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""LightBrown"", ""ShapeOfSymptomAbnormality"": ""Circular"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Circular""}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Oval"" }"
Brown Spot,brown_spot (14).jpg,"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Circular”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""GreenishBlack"", ""ShapeOfSymptomAbnormality"": ""Oval"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishGray"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""DarkBrown"", ""ShapeOfSymptomAbnormality"": ""Eye"" }"
Leaf Blast,leaf_blast1.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{""SymptomAbnormality"": ""Dry"",""ColorAbnormality"": ""Brown"",""ShapeOfSymptomAbnormality"": ""Circular""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""GrayishBrown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""LightBrown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Leaf Blast,leaf_blast2.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “YellowishBrown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""GrayishBrown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
Leaf Blast,leaf_blast3.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""GrayishBrown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{ ""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval"" }"
Leaf Blast,leaf_blast4.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""YellowishBrown"", ""ShapeOfSymptomAbnormality"": ""Linear"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
Leaf Blast,leaf_blast5.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""YellowishBrown"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Leaf Blast,leaf_blast6.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""DarkBrown"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""GrayishBrown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""White"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
Leaf Blast,leaf_blast7.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""GrayishBrown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Leaf Blast,leaf_blast8.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""DarkBrown"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Leaf Blast,leaf_blast9.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": Spot, ""ColorAbnormality"": Brown, ""ShapeOfSymptomAbnormality"": Oval}"
Leaf Blast,leaf_blast10.jpg,"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Circular”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Circular"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""DarkBrown"", ""ShapeOfSymptomAbnormality"": ""Oval""} ","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Leaf Blast,leaf_blast (80),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Linear"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Leaf Blast,leaf_blast (39),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Yellow"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Leaf Blast,leaf_blast (182),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""DarkBrown"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishGray"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Leaf Blast,leaf_blast (191),"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Black"", ""ShapeOfSymptomAbnormality"": ""Linear"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid""}"
Leaf Blast,leaf_blast (16),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Ball"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
Leaf Blast,leaf_blast (33),"{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""YellowishBrown"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid"" }","{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishGray"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""BrownishGray"", ""ShapeOfSymptomAbnormality"": ""Oval"" }"
Leaf Blast,leaf_blast (104),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Oval"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
Leaf Blast,leaf_blast (225),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “DarkBrown”, “ShapeOfSymptomAbnormality”: “Circular”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""GrayishBrown"", ""ShapeOfSymptomAbnormality"": ""Oval"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""LightBrown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Leaf Blast,leaf_blast (235),"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{ ""SymptomAbnormality"": ""Pimple"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Halo"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
Leaf Blast,leaf_blast (357),"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""YellowishBrown"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishGray"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Leaf scald,leaf_scald1.png,"{“SymptomAbnormality”: “Dry”, “ColorAbnormality”: “Yellow”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""GrayishBrown"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Dry"", ""ColorAbnormality"": ""YellowishBrown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
Leaf scald,leaf_scald2.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""GreenishBrown"", ""ShapeOfSymptomAbnormality"": ""Oval"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""GrayishBrown"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""GrayishBrown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
Leaf scald,leaf_scald3.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""GreenishBlack"", ""ShapeOfSymptomAbnormality"": ""Oval"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
Leaf scald,leaf_scald4.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Yellow”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""YellowishBrown"", ""ShapeOfSymptomAbnormality"": ""Circular"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""GrayishBrown"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Yellow"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
Leaf scald,leaf_scald5.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Spot"", ""ShapeOfSymptomAbnormality"": ""Eye"", ""ColorAbnormality"": ""YellowishBrown"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
Leaf scald,leaf_scald6.jpg,"{“SymptomAbnormality”: “Dry”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""YellowishBrown"", ""ShapeOfSymptomAbnormality"": ""Linear"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid""}"
Leaf scald,leaf_scald7.jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear"" }","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
