Class,image,SymptomAbnormality,accordance with ontology (Symptom),Color Abnormality,accordance with ontology (Color),ShapeOfSymptomAbnormality,accordance with ontology (Shape)
Narrow Brown Leaf Spot,narrow_brown1.jpg,Spot,1,YellowishBrown,0,Ellipsoid,0
Narrow Brown Leaf Spot,narrow_brown2.jpg,Lesion,1,GreenishBrown,0,Linear,1
Narrow Brown Leaf Spot,narrow_brown3.jpg,Spot,1,DarkBrown,0,Linear,1
Narrow Brown Leaf Spot,narrow_brown4.jpg,Spot,1,YellowishBrown,0,Halo,0
Narrow Brown Leaf Spot,narrow_brown5.jpg,Lesion,1,BrownishGreen,0,Oval,0
Narrow Brown Leaf Spot,narrow_brown6.jpg,Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown7.jpg,Spot,1,GreenishBlack,0,Ellipsoid,0
Narrow Brown Leaf Spot,narrow_brown8.jpg,Spot,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown9.jpg,Lesion,1,DarkBrown,0,Eye,0
Narrow Brown Leaf Spot,narrow_brown10.jpg,Spot,1,YellowishBrown,0,Linear,1
Narrow Brown Leaf Spot,"narrow_brown (1),jpg",Spot,0,Brown,1,Ellipsoid,0
Narrow Brown Leaf Spot,narrow_brown (8).jpg,Spot,0,ReddishBrown,0,Eye,0
Narrow Brown Leaf Spot,narrow_brown (13).jpg,Spot,0,GreenishBlack,0,Linear,1
Narrow Brown Leaf Spot,narrow_brown (27).jpg,Dry,0,ReddishBrown,0,Linear,1
Narrow Brown Leaf Spot,narrow_brown (31),Lesion,1,YellowishBrown,0,Circular,0
Narrow Brown Leaf Spot,narrow_brown (81),Spot,0,YellowishGreen,0,Halo,0
Narrow Brown Leaf Spot,narrow_brown_val (14),Spot,0,BrownishGreen,0,Linear,1
Narrow Brown Leaf Spot,narrow_brown_val (22),Lesion,1,BlackishBrown,0,Linear,1
Narrow Brown Leaf Spot,narrow_brown_val (32),Spot,0,GreenishBlack,0,Linear,1
Narrow Brown Leaf Spot,narrow_brown_val (33),Lesion,1,GreenishBrown,0,Halo,0
