Class,image,SymptomAbnormality,accordance with ontology (Symptom),Color Abnormality,accordance with ontology (Color),ShapeOfSymptomAbnormality,accordance with ontology (Shape)
Leaf Blast,leaf_blast (357),Lesion,0,BrownishGray,0,Oval,0
Leaf scald,leaf_scald1.png,Lesion,1,GrayishBrown,1,Linear,0
Leaf scald,leaf_scald2.jpg,Lesion,1,GrayishBrown,1,Linear,0
Leaf scald,leaf_scald3.jpg,Lesion,1,Brown,0,Oval,1
Leaf scald,leaf_scald4.jpg,Lesion,1,GrayishBrown,1,Linear,0
Leaf scald,leaf_scald5.jpg,Lesion,1,BrownishYellow,0,Linear,0
Leaf scald,leaf_scald6.jpg,Lesion,1,BrownishYellow,0,Linear,0
Leaf scald,leaf_scald7.jpg,Lesion,1,Brown,0,Linear,0
Leaf scald,leaf_scald8.jpg,Lesion,1,BrownishGray,0,Linear,0
Leaf scald,leaf_scald9.jpg,Lesion,1,YellowishBrown,0,Linear,0
Leaf scald,leaf_scald10.jpg,Lesion,1,Brown,0,Linear,0
Leaf scald,leaf_scald (15),Lesion,1,Brown,0,Linear,0
Leaf scald,leaf_scald (22),Lesion,1,YellowishBrown,0,Linear,0
Leaf scald,leaf_scald (59),Lesion,1,BrownishYellow,0,Oval,1
Leaf scald,leaf_scald (63),Lesion,1,BrownishYellow,0,Linear,0
Leaf scald,leaf_scald (65),Lesion,1,Brown,0,Linear,0
Leaf scald,leaf_scald (80),Lesion,1,BrownishGray,0,Linear,0
Leaf scald,leaf_scald (84),Lesion,1,Brown,0,Linear,0
Leaf scald,leaf_scald (86),Lesion,1,BrownishGray,0,Linear,0
Leaf scald,leaf_scald (128),Lesion,1,BrownishYellow,0,Linear,0
Leaf scald,leaf_scald (302),Lesion,1,BrownishGray,0,Linear,0
Narrow Brown Leaf Spot,narrow_brown1.jpg,Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown2.jpg,Lesion,1,BrownishYellow,0,Linear,1
Narrow Brown Leaf Spot,narrow_brown3.jpg,Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown4.jpg,Lesion,1,BrownishYellow,0,Oval,0
Narrow Brown Leaf Spot,narrow_brown5.jpg,Lesion,1,Brown,1,Ellipsoid,0
Narrow Brown Leaf Spot,narrow_brown6.jpg,Lesion,1,Brown,1,Oval,0
Narrow Brown Leaf Spot,narrow_brown7.jpg,Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown8.jpg,Lesion,1,Brown,1,Oval,0
Narrow Brown Leaf Spot,narrow_brown9.jpg,Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown10.jpg,Lesion,1,BrownishYellow,0,Oval,0
Narrow Brown Leaf Spot,"narrow_brown (1),jpg",Lesion,1,Brown,1,Oval,0
Narrow Brown Leaf Spot,narrow_brown (8).jpg,Lesion,1,Brown,1,Oval,0
Narrow Brown Leaf Spot,narrow_brown (13).jpg,Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown (27).jpg,Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown (31),Lesion,1,BrownishYellow,0,Oval,0
Narrow Brown Leaf Spot,narrow_brown (81),Lesion,1,BrownishYellow,0,Linear,1
Narrow Brown Leaf Spot,narrow_brown_val (14),Lesion,1,Brown,1,Ellipsoid,0
Narrow Brown Leaf Spot,narrow_brown_val (22),Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown_val (32),Lesion,1,Brown,1,Oval,0
Narrow Brown Leaf Spot,narrow_brown_val (33),Lesion,1,BrownishYellow,0,Linear,1
